Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmRP,RUWE,epsi,sepsi,uvista_matchdistarcsec,uvista_Ymag,uvista_Jmag,uvista_Hmag,uvista_Ksmag,ukidss_matchdistarcsec,ukidss_Ymag,ukidss_Jmag,ukidss_Hmag,ukidss_Ksmag,FromPS1_Hmag,MUSEIOT_Jmag
3836045470578037888,150.08783690822,1.99230042573,,,20.7536,0.653564,,1.683,0.42342657,0.20086844727745576,19.826,19.537,19.056,18.874,0.26382140008159094,19.704999923706055,19.20199966430664,18.990999221801758,,18.920801,19.848309
3836045470578010880,150.08141380765,1.99052308887,-1.917,-4.522,18.4545,1.20136,1.044,0.418,0.8017993,0.15609427248132413,17.321,17.035,16.556,16.426,0.1736464043289398,17.316999435424805,16.968000411987305,16.458999633789062,16.3439998626709,16.460611,16.910112
3836045470578011136,150.09025824553,1.99209627033,-8.309,8.78,19.657,1.9185,0.997,0.0,0.0,0.18620603156530321,17.454,17.025,16.51,16.254,0.2006914077355222,17.599000930786133,17.014999389648438,16.47800064086914,16.172000885009766,16.457512,17.373919
3836045573657227136,150.09074931745,1.99997507427,,,20.8226,1.75004,,21.656,27.784243,0.20353532675413213,15.79,15.236,14.571,13.917,0.15156066941332433,17.047000885009766,16.405000686645508,15.63700008392334,14.991000175476074,15.327745,18.703058
3836045577951784576,150.09667533094,2.00417746486,,,21.0032,1.6578,,17.66,36.8718,0.15429764427466824,17.779,17.23,16.574,15.922,0.12269148038211494,18.106000900268555,17.472999572753906,16.756999969482422,16.12700080871582,16.739311,18.975803
3836045642376705408,150.07566023848,2.01335065748,2.243,-5.761,18.8772,0.779495,0.997,0.0,0.0,0.14568313233836308,18.011,17.815,17.513,17.353,0.1352014574530911,18.136999130249023,17.88599967956543,17.51799964904785,17.700000762939453,17.506123,17.819252
3836045715390348288,150.05435504259,1.99964528112,,,20.6901,1.61042,,28.992,64.84029,0.2108012334534748,14.548,14.027,13.316,12.855,0.22486769435350787,15.909000396728516,15.291999816894531,14.52400016784668,14.069999694824219,13.957063,18.710747
3836045745455920640,150.05890989822,2.01513480965,-0.072,0.096,19.555,0.142803,1.098,1.059,1.1872392,0.14080386469261316,18.705,18.481,17.97,17.335,0.10858607401586726,18.66200065612793,18.46500015258789,17.96500015258789,17.04800033569336,18.125639,19.303991
3836045814175397632,150.04716620256,2.01848118815,-3.175,0.759,17.331,0.712101,1.07,0.344,2.2108045,0.1393929042414563,16.615,16.47,16.209,16.124,0.16523189146807027,16.64299964904785,16.40999984741211,16.13599967956543,16.117000579833984,16.126474,16.354322
3836045814175451776,150.05717995015,2.02601316077,-15.16,1.502,20.4527,2.42147,1.04,1.221,0.4274894,0.24589778180744742,17.975,17.498,16.954,16.672,0.26098795890383275,18.04800033569336,17.474000930786133,16.89299964904785,16.652999877929688,16.839014,17.71781
3836045848535136256,150.07128056793,2.02086961079,-4.394,6.592,19.7771,2.19288,1.049,1.113,0.9105653,0.15717524608088698,17.973,17.56,16.978,16.73,0.15794201533982677,17.947999954223633,17.46500015258789,16.891000747680664,16.67799949645996,16.870062,17.240774
3836045852829513856,150.08254919944,2.02491171441,,,20.588,1.40285,,0.0,0.0,0.2246503526511132,19.412,19.089,18.577,18.45,0.16713928259452385,19.45599937438965,19.347999572753906,18.577999114990234,,18.77183,18.824846
3836045852829922688,150.07727782288,2.02420109747,,,20.6103,1.71519,,9.947,13.9741955,0.1726068998913255,17.0,16.479,15.838,15.196,0.1471461824977888,17.48699951171875,16.90399932861328,16.177000045776367,15.548999786376953,16.028805,18.525356
3836045882894875136,150.08340927328,2.0255360203,-7.743,-3.269,18.5856,1.84087,1.009,0.294,0.3880197,0.20668817222036176,16.987,16.609,16.038,15.831,0.20023389466110902,17.016000747680664,16.58099937438965,15.956999778747559,15.788999557495117,15.937475,16.377121
3836045882894875264,150.08316433509,2.0294351732,0.453,-4.049,18.5667,0.641611,1.012,0.139,0.0765307,0.17032054713167546,17.989,17.824,17.571,17.49,0.13384994023912694,18.03700065612793,17.729999542236328,17.368999481201172,17.427000045776367,17.512909,17.676077
3836225343807959680,149.91986867849,1.92749492197,-3.763,-4.254,18.4666,1.39795,1.088,0.527,1.1218626,0.177641450785507,17.119,16.779,16.19,16.02,0.14092865426848858,17.11199951171875,16.801000595092773,16.101999282836914,15.960000038146973,16.098543,16.708664
3836225343807959808,149.92128530814,1.92892486751,,,20.4022,1.07444,,2.083,1.004073,0.17789711958215065,18.774,18.382,17.805,17.554,0.2015906388123041,18.70199966430664,18.240999221801758,17.67300033569336,17.739999771118164,17.684399,19.000118
3836225378167699712,149.92634611531,1.93644057782,10.144,-19.649,19.6164,2.32132,1.073,0.976,0.848571,0.15606854603802583,17.105,16.617,16.052,15.748,0.28985527866992555,17.179000854492188,16.716999053955078,16.010000228881836,15.704000473022461,16.101034,16.967115
3836225378167976704,149.93788661483,1.93713145785,,,20.6919,1.01412,,0.0,0.0,0.15990281213888669,19.877,19.601,19.175,19.012,0.10094847275085958,19.983999252319336,19.600000381469727,,,19.038927,19.358667
